date,source,name,address,phone,website,has_website,rating,reviews,maps_url,place_id,qualification_score,status,notes,open_state,hours_text
2026-06-20,serpapi_maps,Privé by Nahila Hedayet,"""House 23B Rd 102",Dhaka 1212,"Bangladesh""",+880 1926-649646,https://www.facebook.com/privebynahila/,true,4.3,357,https://www.google.com/maps/place/?q=place_id:ChIJlzDYZKTHVTcR3kxjKoEbCME,ChIJlzDYZKTHVTcR3kxjKoEbCME,8,,
2026-06-20,serpapi_maps,GENT'S CARE: PREMIUM SALON BASHUNDHARA,"""House-9/A",Haji Abdul Lotif Mansion,Residential Area Road,Dhaka 1229,"Bangladesh""",+880 1328-779922,,false,4.9,63,https://www.google.com/maps/place/?q=place_id:ChIJfxihuMfHVTcRu4TVmesbDCk,,
2026-06-20,serpapi_maps,Isabella Beauty & Bridal Makeover | Best Parlour in Khilgaon Dhaka | Female Spa Center,"""412 C khilgaon",Dhaka 1219,"Bangladesh""",+880 1867-852530,,false,4.8,48,https://www.google.com/maps/place/?q=place_id:ChIJDb3j6Tq5VTcRcip_c0EGjYw,ChIJDb3j6Tq5VTcRcip_c0EGjYw,10,,
2026-06-20,serpapi_maps,Style Exclusive Beauty Salon,"""34/3",(Ground Floor,Puratan Kacha Bazar,Dhaka 1209,"Bangladesh""",+880 1715-068181,,false,4.8,711,https://www.google.com/maps/place/?q=place_id:ChIJq0hfeUq_VTcRpuo4glAOHsU,,
2026-06-20,serpapi_maps,Best Beauty Parlor Service at Home | Aleya beautician,,+880 1876-530234,https://aleyabeautician.blogspot.com/,true,4.9,34,https://www.google.com/maps/place/?q=place_id:ChIJTdj_BCbHVTcRP6jjAQHroWM,ChIJTdj_BCbHVTcRP6jjAQHroWM,9,new,"""Keyword: beauty parlor",,
2026-06-20,serpapi_maps,Total Care Salon Bangladesh,"""Block K",House No,16 Rd No.28,Dhaka 1213,"Bangladesh""",+880 1619-861581,https://www.facebook.com/TCSDBD,true,4.4,76,https://www.google.com/maps/place/?q=place_id:ChIJ2xU2MI3HVTcRMc4f94yDe70,,
2026-06-20,serpapi_maps,Unimart Gulshan 2,"""House No. 23",Gulshan Centre Point,26 Rd 90,Dhaka 1212,"Bangladesh""",+880 1955-550000,https://unimart.online/,true,4.5,12473,https://www.google.com/maps/place/?q=place_id:ChIJcR21rKfHVTcRlhqUVlOWb7w,,
2026-06-20,serpapi_maps,Almas Super Shop,"""House No.71",81(new),Road No. 8,A Satmasjid Road,Dhaka 1205,"Bangladesh""",+880 1844-674483,http://www.almas.com.bd/,true,4.1,2450,,
2026-06-20,serpapi_maps,Agora,"""37",Plot-5,101 Gulshan Ave,Dhaka 1212,"Bangladesh""",+880 9612-311167,,false,4.2,3450,https://www.google.com/maps/place/?q=place_id:ChIJb8Htl6HHVTcRorbstwANQXA,,
2026-06-20,serpapi_maps,Banani Super Market,"""44 Kemal Ataturk Ave",Dhaka 1213,"Bangladesh""",,https://www.facebook.com/bananisupermarkethomedelivery/,true,4.1,14185,https://www.google.com/maps/place/?q=place_id:ChIJHWe7kA7HVTcRwFJiidB3q34,ChIJHWe7kA7HVTcRwFJiidB3q34,7,,
2026-06-20,serpapi_maps,Dhali Super Shop Ltd.,"""G-6",7,DNCC Market,Rd 98,Dhaka 1212,"Bangladesh""",+880 2-8881100,,false,4.2,784,,
2026-06-21,serpapi_maps,Clothing Fashion In Bd,"""Dhaka 1937","Bangladesh""",+880 1810-778195,,false,5,1,https://www.google.com/maps/place/?q=place_id:ChIJ-xNHHUrHVTcRUHhiel_1EYE,ChIJ-xNHHUrHVTcRUHhiel_1EYE,9,new,,
2026-06-21,serpapi_maps,Wild Fashion BD,"""931/ C",Shahid Baki Rd,Dhaka 1219,"Bangladesh""",+880 1719-582894,https://cashbackbd.blogspot.com/2021/01/window.html,true,3.9,56,https://www.google.com/maps/place/?q=place_id:ChIJk83fOHC4VTcR_M3Xk_KjDS0,ChIJk83fOHC4VTcR_M3Xk_KjDS0,,
2026-06-21,serpapi_maps,PATHANI: The Fashion Store,"""Opposite of Agrani Bank",Next Shop of Dhaka Tower-1,Shop No. 474,Hawkers Market,Shodorghat,Dhaka 1100,"Bangladesh""",+880 1511-525115,http://pathani.net/,true,4.9,,
2026-06-21,serpapi_maps,Nibir Fashion,"""6/7 Noor-Mansion (2nd Floor)",Gawsia Market,Dhaka,1205,"Bangladesh""",+880 1885-571642,https://www.facebook.com/nibirfashion.1,true,4.3,133,https://www.google.com/maps/place/?q=place_id:ChIJAQDAF8a4VTcRwZvnGzZJeTA,,
2026-06-21,serpapi_maps,B2 Fashion - Gulshan - 1,"""62 Gulshan Avenue Road No-130",Gulshan South C/A Dhaka-1212 Dhaka,1212,"Bangladesh""",+880 1894-829236,https://b2trendbd.com/,true,4.4,87,https://www.google.com/maps/place/?q=place_id:ChIJJRrQekrHVTcRh9Bf1vum_KY,ChIJJRrQekrHVTcRh9Bf1vum_KY,,
2026-06-21,serpapi_maps,The Beauty Mall,"""68",Block - D,House No,Ground floor,Rd 10,Dhaka 1212,"Bangladesh""",+880 1309-000470,,false,4.8,,
2026-06-21,serpapi_maps,Authentic Cosmetics Store in Bangladesh - Saajkutir,"""43 NO",1100 Rankin St,Dhaka 1100,"Bangladesh""",+880 1301-983737,https://www.saajkutir.com/,true,5,6,https://www.google.com/maps/place/?q=place_id:ChIJy12Ye6m5VTcRAxGE36rRkhc,ChIJy12Ye6m5VTcRAxGE36rRkhc,,
2026-06-21,serpapi_maps,Bangla Shoppers,"""House: 134",Road: 12,Block: E,Dhaka 1213,"Bangladesh""",+880 1559-222444,https://www.banglashoppers.com/,true,3.9,214,https://www.google.com/maps/place/?q=place_id:ChIJhVYlCgzHVTcRC21zR5R1jwE,,
2026-06-21,serpapi_maps,Meye Ghor - Best Online Cosmetics Shop in Bangladesh​,"""Shop No-240",1st Floor,Muktobangla Shopping Complex,Dhaka 1216,"Bangladesh""",+880 1610-280362,http://meyeghor.com/,true,4,4,https://www.google.com/maps/place/?q=place_id:ChIJR1JkGyzBVTcRQq-_WJiaYmg,,
2026-06-21,serpapi_maps,Miake BD,"""House 35",Aftab Nagar Main Rd,Dhaka 1212,"Bangladesh""",+880 1618-825738,https://miakebd.com/,true,4.6,11,https://www.google.com/maps/place/?q=place_id:ChIJxdei-y2_VTcROJ5AKvOL2uc,ChIJxdei-y2_VTcROJ5AKvOL2uc,,
2026-06-21,serpapi_maps,"""Nobin Fashion","Vatara Branch (Family Bazar)""","""House No- 1260",Madani Avenue 100 Feet Vatara (Opposite Road of American,Embassy),Dhaka 1212,"Bangladesh""",+880 1877-655563,https://thefamilybazar.com/,true,4.9,30,,
2026-06-21,serpapi_maps,Soi 71,"House-8 Rd 101, Dhaka 1212, Bangladesh",,http://www.soi71.net/,true,4.2,1809,https://www.google.com/maps/place/?q=place_id:ChIJdTJxi6nHVTcR4UBYjHRDCr4,ChIJdTJxi6nHVTcR4UBYjHRDCr4,7,new,"Keyword: restaurant, Location: Dhaka, Bangladesh | 🎯 Trojan: ExecERP (Inventory Module)",Open · Closes 11 PM,
2026-06-21,serpapi_maps,M.K. Electronics | Gulshan 2 Showroom,"Hamid Tower, 24 Gulshan C/A, Dhaka 1212, Bangladesh",+880 9613-333111,https://www.mke.com.bd/,true,4,217,https://www.google.com/maps/place/?q=place_id:ChIJLRdQAafHVTcRTqad72bPiRI,ChIJLRdQAafHVTcRTqad72bPiRI,8,new,"Keyword: electronics, Location: Dhaka, Bangladesh | 🎯 Trojan: ExecERP (Inventory Module)",Open · Closes 9 PM,
2026-06-21,serpapi_maps,Clothing Fashion In Bd,"Dhaka 1937, Bangladesh",+880 1810-778195,,false,5,1,https://www.google.com/maps/place/?q=place_id:ChIJ-xNHHUrHVTcRUHhiel_1EYE,ChIJ-xNHHUrHVTcRUHhiel_1EYE,9,new,"Keyword: fashion, Location: Dhaka, Bangladesh | 🎯 Trojan: ExecERP (Inventory Module)",Open 24 hours,
2026-06-21,serpapi_maps,Unimart Gulshan 2,"House No. 23, Gulshan Centre Point, 26 Rd 90, Dhaka 1212, Bangladesh",+880 1955-550000,https://unimart.online/,true,4.5,12474,https://www.google.com/maps/place/?q=place_id:ChIJcR21rKfHVTcRlhqUVlOWb7w,ChIJcR21rKfHVTcRlhqUVlOWb7w,8,new,"Keyword: Grocery shop, Location: Dhaka, Bangladesh | 🎯 Trojan: ExecERP (Inventory Module)",Open · Closes 10 PM,
2026-06-21,serpapi_maps,"Oikko.com.bd: SME Online Shop in Dhaka, Bangladesh","266 W Nakhalpara Rd, Dhaka 1215, Bangladesh",+880 1613-533333,,false,4.5,49,https://www.google.com/maps/place/?q=place_id:ChIJu275e9PHVTcRjUFsJ4sNh1A,ChIJu275e9PHVTcRjUFsJ4sNh1A,10,new,"Keyword: online shop, Location: Dhaka, Bangladesh | 🎯 Trojan: ExecERP (Inventory Module)",Open · Closes 7 PM,
2026-06-21,serpapi_maps,Online shopping,"Uttara sector 4,Road 11,House 26 Uttara sector 4,Road 11,House 26 Dhaka Bangladesh Dhaka, 1212, Bangladesh",+880 1760-333894,,false,4.5,8,https://www.google.com/maps/place/?q=place_id:ChIJ0wFXgvbFVTcRzbuknXGhEM0,ChIJ0wFXgvbFVTcRzbuknXGhEM0,9,new,"Keyword: online product seller, Location: Dhaka, Bangladesh | 🎯 Trojan: ExecMate (Business Automation)",Open 24 hours,
2026-06-21,serpapi_maps,"MarsOnline.Com.Bd ( Best Online Shop( E-commerce) in Dhaka, Bangladesh)","House #13, Road #10, Sector #06, Dhaka 1230, Bangladesh",+880 1960-464646,,false,5,9,https://www.google.com/maps/place/?q=place_id:ChIJX5eYMpfFVTcRdYjeoRgVdVc,ChIJX5eYMpfFVTcRdYjeoRgVdVc,9,new,"Keyword: online product seller, Location: Dhaka, Bangladesh | 🎯 Trojan: ExecMate (Business Automation)",Open 24 hours,
2026-06-21,serpapi_maps,eBooth.com.bd | Online Shopping Store,"161 Crescent Road, Green Rd, Dhaka 1205, Bangladesh",,,false,5,4,https://www.google.com/maps/place/?q=place_id:ChIJodr-b0a5VTcRorx62DPY90A,ChIJodr-b0a5VTcRorx62DPY90A,8,new,"Keyword: online product seller, Location: Dhaka, Bangladesh | 🎯 Trojan: ExecMate (Business Automation)",Open · Closes 7 PM,
2026-06-21,serpapi_maps,Retailer BD,"House: 136, Farid Market, Dhaka 1230, Bangladesh",+880 1753-336609,https://www.retailerbd.com/,true,4.8,49,https://www.google.com/maps/place/?q=place_id:ChIJOzbog_vFVTcR406jkAnLUpE,ChIJOzbog_vFVTcR406jkAnLUpE,9,new,"Keyword: online product seller, Location: Dhaka, Bangladesh | 🎯 Trojan: ExecMate (Business Automation)",Open · Closes 10 PM,
